Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score,Status
17,Male,Graduate,Australia,3.21,Facebook,No,6.0,5,Single,6,17,0
24,Male,Graduate,Canada,6.51,Twitter,Yes,4.0,2,Single,4,28,1
22,Male,Undergraduate,Germany,5.73,WhatsApp,No,7.0,6,Complicated,8,16,0
25,Male,Graduate,India,1.82,Facebook,No,8.0,8,In Relationship,1,14,0
21,Female,High School,Australia,6.41,Twitter,Yes,4.0,2,In Relationship,9,24,1
20,Male,High School,Other,7.63,TikTok,Yes,4.0,1,Complicated,10,27,1
17,Male,High School,UK,5.89,WhatsApp,Yes,6.0,5,In Relationship,3,23,1
17,Female,Graduate,Germany,2.28,YouTube,No,8.0,5,Complicated,7,17,0
24,Male,High School,Germany,6.84,Snapchat,Yes,6.0,2,Single,10,24,1
17,Male,High School,Nigeria,8.13,Facebook,Yes,3.0,1,Single,4,28,1
21,Male,Graduate,Japan,3.11,Facebook,No,7.0,8,Complicated,1,7,0
20,Female,High School,Japan,2.43,Snapchat,Yes,6.0,3,Complicated,9,21,1
21,Female,Undergraduate,Nigeria,7.55,Instagram,Yes,5.0,5,Single,4,19,1
23,Male,High School,Japan,7.35,Instagram,Yes,5.0,3,In Relationship,9,26,1
24,Female,High School,Canada,3.58,Instagram,No,8.0,6,Complicated,5,16,0
16,Male,High School,India,5.67,Twitter,Yes,7.0,4,Complicated,4,19,1
22,Female,Undergraduate,Canada,6.19,TikTok,Yes,6.0,2,Complicated,7,26,1
18,Female,High School,Canada,4.09,Facebook,Yes,7.0,5,In Relationship,4,23,1
18,Female,High School,India,6.7,Facebook,Yes,5.0,2,Single,8,26,1
18,Female,High School,Nigeria,5.36,YouTube,No,5.0,6,Complicated,5,15,0
22,Male,High School,Australia,4.05,WhatsApp,No,7.0,7,Complicated,5,12,0
18,Male,High School,UK,7.67,Instagram,Yes,5.0,3,In Relationship,6,24,1
19,Male,Graduate,Canada,4.29,TikTok,Yes,6.0,3,Single,7,21,1
